entity,summary,subtract,sentiment
Dow Jones,"Well we finally had a good Monday in March, as the S&P 500 rose a solid 3.4%. A 3%+ jump during less-volatile times would be phenomenal. Now it is just solid. On the last three Monday's in March, the index plunged 7.6%, crashed 12%, and then saw a ""minor"" decline of 2.9%. Does this mean that Turnaround Tuesday, which has seen gains of 4.9%, 6%, and 9.4% in the past three weeks, will see downside today?"," It's been a rollercoaster week for US stocks in the last few weeks, with the Dow Jones closing at another record high and the S&P 500 closing at a record high for the first time in more than two and a half years.",positive
the US Federal Reserve,"Stocks fell sharply on Thursday morning amid continued coronavirus uncertainty. However, Fed Vice Chair Richard Clarida said that U.S. economic fundamentals remained strong and that it was too soon to tell what impact the coronavirus would have on the economy or interest rate policy. In M&A news, Morgan Stanley said that it would acquire E*Trade Financial in a $13 billion deal. E*Trade shares jumped 24%, while MS fell nearly 4%. The Dow and the S&P were down 1.0%, while the Nasdaq fell 1.4%. Crude oil rose nearly 2% to $54 per barrel, while gold rose $14 to $1626 per ounce.","Stocks on Wall Street have closed lower after the head of the US Federal Reserve said it was ""unlikely"" that interest rates would rise again before the end of the year, despite concerns about the health of the world's third largest economy.",negative
Argus Research,"Sustainable Impact Investing is gaining traction not only with Argus Research clients, but also with the global investment community. According to the Forum for Sustainable and Responsible Investment, global assets under management in the strategy have grown to $11.6 trillion in 2018 from $178 billion in 2005. The UN Principles for Responsible Investing -- to which Argus Research is a signatory -- now represents more than 1,750 signatories with assets of US$70 trillion, according to BMO Global Asset Management. As assets have flowed in over the past 40 years, Sustainable Impact Investing has evolved. The discipline, originally known as Socially Responsible Investing, focused at first on excluding companies that conducted business in South Africa, or participated in industries such as tobacco, alcohol and firearms. In time, the list of industries to avoid increased to include soft drinks, fast food, and oil and gas, among numerous others. Performance of these initial strategies lagged, and the approach has been modified. Now, instead of merely identifying industries to avoid, the discipline promotes ""sustainable"" business practices across all industries that can have an ""impact"" on global issues such as the climate, hunger, poverty, disease, shelter and workers' rights.",South Africa-based investment firm Argus Research has become the first firm in the world to develop a "sustainable investment strategy" that targets companies that do not operate in the "toxic" or "risky" areas of the world.,negative
stock on Wall Street,"U.S. equities were down on Friday morning following the announcement of new sanctions on Iran. On the economic front, the U.S. Bureau of Labor Statistics reported that nonfarm payroll employment rose by 145,000 in December, and the unemployment rate of 3.5% remained unchanged. Wall Street was expecting an increase of 165,000 jobs. Gains occurred in retail trade and health care, while mining lost jobs. Wages rose to $28.32 per hour in December, up 2.9% compared to a rise of 3.1% a year ago. The Dow Jones Industrial Average fell 0.3%, the S&P 500 0.07% and the Nasdaq Composite was down 0.06%. Crude oil traded at $59 per barrel, while gold rose $7 to $1561 per ounce.","Stocks on Wall Street closed lower on Friday, despite a better-than-expected jobs report from the US, which indicated that the world's third largest economy was in a ""relaxed"" state of growth in the first quarter of the year.",positive
US Federal Reserve,"The major market indices all had solid performances for 2019, closing with raw price gains of 36% for the Nasdaq Composite, 24% for the Dow Jones Industrial Average and 29% for the S&P 500.  Growth stocks outperformed value, as the Russell 1000 Growth Index advanced 40% compared to the Russell 1000 Value Index's gain of 24%. Small-caps underperformed, with the Russell 2000 closing 25% higher.  International stocks underperformed domestic stocks, as the EAFE Index increased 19% and the MSCI Emerging Markets Index advanced 17%."," US stock markets ended the week on a positive note, with the Dow Jones, S&P 500 and Nasdaq indexes all closing higher for the first time in more than a decade in the wake of a US Federal Reserve decision to raise interest rates.",positive
BBC News,"Sustainable Impact investing continues to grow.  According to the Forum for Sustainable and Responsible Investment (SRI), assets under management in SRI funds have risen to $8.7 trillion in 2015 from $2.1 trillion in 2003. As assets have flowed in, SRI investing has evolved over the past 40 years.  Now, instead of merely identifying industries to avoid, the discipline promotes ""sustainable"" business practices across all businesses that can have an ""impact"" on global issues such as workers' rights, poverty, hunger and the climate. Based on numerous requests from clients, we have compiled a list of companies followed by Argus Research that are in position to have this type of ""sustainable impact"" on the environment, workplace and community. These firms have exemplary records not only in delivering on the bottom line, but also in improving the environment, contributing to community relations, and showing respect for employees. We derived our list by identifying companies that are either BUY-rated or HOLD-rated by Argus analysts, and also score highly on ESG (Environmental, Social and Governance) criteria established by the JUST Capital Foundation. JUST Capital utilizes a combination of polling, data-driven research, and strategic engagement to shift behaviors and activities in corporate America and the financial markets. JUST Capital's mission is to drive measurable corporate change to create a stakeholder-centric, inclusive form of capitalism that reflects the priorities of the American public.  JUST ranks the Russell 1000 on these criteria against a scale of 1-100. Here are the companies in the Argus Universe that score highest on the scale."," The BBC News website looks at some of the companies that have made the most of their ""sustainable impact"" on the environment, the environment and the rest of the world in a series of articles published in the New York Times and the Wall Street Journal.",positive
US economy,"The U.S. Department of Commerce announced that its ""third"" estimate for 3Q19 GDP growth was a rate of 2.1%. This was in line with the previous estimates and with the consensus outlook. The report reflects positive trends in the economy, including the all-important personal consumption expenditures (+3.2%), capital investments into intellectual property products (+4.7%) and residential construction (+4.6%), and even federal government spending (+3.3%, led by nondefense spending, which rose at a 5.0% rate). The segments that lagged were capital investment into equipment (-3.8%, which we think is a fall-out from the trade debate) and exports (up only 1.0% and also affected by trade). In short, the headline number looked positive, but the economy is not showing strength across the board. We expect growth in the balance of 2019 and 2020 to fall into the 1.5%-2.3% range, as ongoing trade and tariff uncertainty weigh on business and consumer confidence. The GDP report also includes an inflation gauge, the PCE price index. This index, excluding food and energy, increased at a 2.1% pace, in line with the Federal Reserve's targets."," The US economy grew at an annual rate of 2.1% in the third quarter of this year, compared with the previous quarter, according to official figures, which were revised down by 0.5% from a year earlier, official figures show.",negative
Dow Jones,"Washington is as turbulent as ever, buffeted by impeachment proceedings, the trade process, an interim government-spending bill, and the drug-pricing wrangle. On Wall Street, the S&P 500 is quietly grinding higher in small moves with few down days.","Stocks on Wall Street have had a mixed day in the last few days, with the Dow Jones closing at a record high and the S&P 500 closing at an all-time high for the first time in more than a quarter of a century.",positive
UK stock,"In a volatile period for stocks, we saw increased demand for information from our website, www.ArgusResearch.com.  The most-popular reports are the stock-based Argus Analyst Reports, followed by the daily reports Market Watch, Market Digest and Market Movers. The daily reports contain, in addition to stock picks, information about the latest market and economic trends as well as Argus' forecasts. The homepage of our website also features updates and outlooks.  Here are the stocks in Argus' fundamental coverage that clients viewed the most in the month of November.","Research firm Argus has reported a rise in the number of clients seeking its analysis of the UK's stock market in the month of November, compared with the previous 12 months, which saw a sharp fall in the value of shares across the board.",negative
UK economy,"We have published our latest version of the Argus Millennial Generation portfolio. This new generation of consumers - the Millennials - has recently become the largest demographic cohort in the country, and this group, with new lifestyle preferences and different career goals, is demanding a new menu of sustainable products and services. The intersection of important Millennial trends - sustainability, healthier living, an entrepreneurial spirit - has resulted in the emergence and growth of numerous companies well suited to the new generation. Many of these companies are expected to be future industry leaders and are included in the dynamic Argus Universe of Coverage. A diversified portfolio, of course, is more than just a list of companies linked to themes. To build the Argus Millennial Generation Portfolio, we applied financial concepts such as industry diversification, income generation, risk reduction and growth at a reasonable price.","If you want to know what the future holds for the UK economy, you need to take a look at some of the companies that have been in the news since the start of the financial crisis and what they need to do to make the most of it.",positive
Apple,"Apple manufactures Smartphones, tablets, PCs, software and peripherals for a worldwide customer base. Its products include Macintosh desktop and mobile PCs, iPhone, iPad, Apple Watch, and various consumer products, including AirPods, Beats headphones and Apple TV. Apple also owns and operates iTunes, the world's largest vendor of recorded music. Apple derives 42%-45% of its revenue from the Americas, 22%-25% from Europe/MEA, and 24%-30% from the Asia-Pacific region."," Apple, one of the world's biggest technology companies, has reported a 15% rise in pre-tax profits to $15bn (Â£11bn) in the first three months of the year, compared with the same period a year earlier.",positive
Nasdaq,"The major indices are down at midday on Thursday on reports that China does not expect to finalize a full trade deal with the Trump administration. Fiat Chrysler (FCAU) announced a merger with French automaker Peugeot that will create the world's fourth-largest auto manufacturer. Industries doing well today include Food Products and Interactive Media & Services. Industries showing weakness include Personal Products, Machinery, and Trading Companies & Distributors. The VIX is up 1.03 to 13.36 after the previous close of 12.33. The Dow fell 0.7%, the S&P 0.6%, and the Nasdaq 0.4%. Crude oil traded near $54 per barrel, while gold rose $15 to $1511 per ounce."," The Dow Jones, the S&P 500 and the Nasdaq have closed lower for the second day in a row, but the VIX index has risen to a new record high for the first time in more than a quarter of a century.",positive
the Institute for Economic Co-operation,"The Technology sector has led equity markets higher in 2019.  The sector has gained 30% this year, compared to 19% for the S&P 500. The Nasdaq Composite, comprised largely of Tech stocks, is about 1% below an all-time high. The sector is the largest in the U.S. market and now accounts for almost 22% of the S&P 500.  Over the long term, we expect the Tech sector to benefit from pervasive digitization across the economy, greater acceptance of transformative technologies, and the development of the Internet of Things (IoT). Healthy company and sector fundamentals are also positive. For individual companies, these include high cash levels, low debt, and broad international business exposure. We have an Over-Weight ranking on the Tech sector and think investors should look to allocate 22%-25% of their diversified portfolios to the group. Here is how we use our Tech sector ideas in our Focus List and Model Portfolios.","Stocks in the technology sector have outperformed the S&P 500 for the first time in more than a decade, according to research carried out by the New York Stock Exchange and the Institute for Economic Co-operation and Development (IEC).",positive
the Institute for Fiscal Studies,"This is among our most-important themes for 2019, and stretches across industries. We think companies that raise their dividends consistently at a double-digit rate are sending off three important signals amid all the recent market volatility: 1) the company's balance sheet is strong enough to pay a dividend; 2) management is focused on providing shareholder returns; and 3) management is confident enough in the near-term outlook to raise the payout aggressively. This third factor is especially important as the economy cools off into 2020 and earnings growth slows. Here are 11 stocks that meet our double-digit dividend test and are on the Argus BUY List. They are also core holdings in our Dividend Growth Separately Managed Account and in the Dividend Growers Total Return Trust, a Unit Investment Trust sponsored by SmartTrust.","Dividends are a key indicator of the health of the UK economy and the outlook for growth in the next few years, according to research carried out by the Institute for Fiscal Studies and the Royal Institute of Chartered Surveyors (RIFS).",negative
stock on Wall Street,"U.S. equity markets were up on Wednesday morning following news that China was suspending additional tariffs on some American imports. The Labor Department reported that its producer price index rose 0.1% in August, following a 0.2% gain in July. The cost of services offset the largest fall in the price of goods in seven months. The Dow gained 0.3%, the S&P 0.3%, and the Nasdaq was up 0.7%. Crude oil traded near $58 per barrel, while gold rose $3 to $1502 per ounce.","Stocks on Wall Street closed higher on Wednesday, boosted by a rise in the price of crude oil and a better-than-expected report on the US labour market, as investors digested the latest economic data from the world's biggest economy.",positive
stock on Wall Street,"Stocks edged higher on Wednesday morning as investors awaited a widely expected interest rate cut by the Federal Reserve, along with comments from Fed Chair Jerome Powell. On the earnings front, Apple shares rose more than 4% after the company posted better-than-expected fiscal 3Q results and provided positive sales guidance for fiscal 4Q. The Dow rose 0.1%, the S&P 0.1%, and the Nasdaq 0.3%. Crude oil rose slightly to about $58 per barrel, while gold fell $2 to $1440 per ounce.","Stocks on Wall Street were mixed on Wednesday, with the Dow Jones and the S&P 500 indexes edging higher, but the price of oil fell back below $50 a barrel for the first time in more than a decade on Wednesday.",positive
stock in Asia,"The G20 summit in Osaka, Japan, ended on a positive note for investors, as President Trump and China's President Xi Jinping scaled back trade and tariff demands over the weekend.  President Trump said he would refrain from imposing additional tariffs on $300 billion worth of Chinese goods, and the U.S. also lifted the technology-transfer ban on companies that had been working with Chinese telcom company Huawei. The two countries are also continuing to renegotiate the tariffs already imposed.  The sectors that had borne the brunt of the trade wars included Information Technology and Industrials.  Here are five BUY-rated stocks that we think are poised to benefit from the cooling trade tensions.","Stocks in Asia have risen in the wake of a meeting between US President Donald Trump and China's leader, Xi Jinping, which ended in a trade deal that ended more than a decade of tit-for-tat trading between the two countries.",positive
US economy,"The U.S. Department of Commerce announced that its third estimate for 1Q19 GDP growth was a rate of 3.1%. This was in line with the previous estimates and the consensus outlook. There were positive trends in the economy, including capital investments into Intellectual Products (+12%), Structured (+4.3%), Exports (+5.4%) even Federal Government Spending (+2.8%, led by Defense spending, which rose at a 4.0% rate and State and Government spending, which rose at a 4.6% rate). Segments that lagged were Housing (-2.0%), capital investment into Equipment (-1.0%) and the all-important Personal Consumption Expenditures (up only 0.9%).  In short, the headline number looked positive, but some of the details were sketchy. We expect growth in the balance of 2019 to fall into the 2.0%-2.5% range, as trade and tariff concerns weigh on confidence. The GDP report also includes an inflation gauge, the PCE price index. This index, excluding food and energy, increased a paltry 0.5%. That alone may play into the Fed's plans for cutting rates."," The US economy grew at an annual rate of 3.1% in the first quarter of the year, according to official figures, but it was still lagging well behind market expectations and the Federal Reserve is expected to cut interest rates later this year.",negative
stock on Wall Street,"We are raising our intermediate-term outlook to bullish, which now aligns with our long-term outlook. All the major indices have finally recaptured their key 200-day moving averages, with the laggard Russell 2000 (RUT) just retaking this average on Tuesday. The average stock in the S&P 500 is now above its 50-day average (56%) for the first time since early May.","Stocks on Wall Street have risen for the first time in more than a year, with the S&P 500 closing at a record high for the third time in a row, and the Dow Jones has closed at an all-time high.",positive
US economy,"The U.S. Department of Commerce announced its ""third"" and final estimate for 4Q18 GDP growth was 2.2%. This is down 40 basis points compared to the ""initial"" estimate of 2.6% and, as we had anticipated, is a further signal that the economy is cooling off from the unsustainable growth rate of 4.2% in 2Q. There were positive trends in the economy, including capital investments into Intellectual Products (+10.7%), Equipment (+6.6%), the all-important Personal Consumer Spending category (+2.5%) and even Federal Government Spending (+1.1%, led by Defense spending, which rose at a 6.4% rate). Segments that lagged were Housing (-4.7%), once again, and State & Local Government Spending (-1.3%).  Exports rebounded from a sharp decline in 3Q that was attributed to tariff talks; but the strong dollar capped export growth at a below-trend 1.8%. The 4Q results benefited from tax cuts, which helped drive consumer spending. But that ""sugar high"" is now in the rear-view mirror. We expect growth in 1H19 in the 1.5%-2.0% range, reflecting disruption in the economy from the government shutdown.  The GDP report also includes an inflation gauge, the PCE price index.  This index, excluding food and energy, increased at a modest 1.8% pace. This report will not likely lead the Fed to alter its current stance."," The US economy grew at an annual rate of 2.2% in the final three months of last year, according to the latest official figures from the US Department of Commerce, but the rate was much slower than first reported in the second quarter.",positive
stock on Wall Street,"Stocks fell on Wednesday morning amid continued concerns about global growth, with all sectors moving lower. The U.S. trade deficit was narrower than expected. The Commerce Department said that the trade gap narrowed by 14.6% to $51.8 billion in January, reflecting higher exports of soybeans, motor vehicles and parts and lower imports. The Reuters consensus forecast had called for a smaller decline to $57.0 billion. The Dow fell 0.8%, the S&P 1.0%, and the Nasdaq 1.3%. Crude oil fell slightly to just under $60 per barrel, while gold fell $6 to $1309 per ounce."," Stocks on Wall Street closed lower after the latest trade figures showed the US trade deficit shrank in January for the first time in more than two years, but the value of the Dow Jones ended the day at a record high.",positive
stock on Wall Street,"Stocks fell sharply on Thursday morning, led by the Basic Materials and Financial sectors, as concerns about a slowing global economy led the European Central Bank to announce new stimulus measures. The ECB cut its global growth and inflation targets and also said that it would delay any interest rate hikes until at least 2020. The Dow fell 1.0%, the S&P 1.2%, and the Nasdaq 1.1%. Crude oil rose slightly to about $56 per barrel, while gold fell $1.50 to $1286 per ounce."," Stocks on Wall Street closed lower on Thursday, with the Dow Jones and the S&P 500 both closing down more than 1% for the first time in more than a decade on concerns about the health of the global economy.",positive
the US Federal Reserve,"The major indices are 0up at midday on Wednesday. FAANG stocks are some of the early-session leaders, trading up in sympathy with Apple after yesterday's well-received earnings call, and ahead of earnings from Microsoft and Facebook this afternoon. With no rate change expected at today's Federal Reserve meeting, investors will be looking for hints of what the future may hold when Fed Chair Jerome Powell speaks with the media. Industries doing well today include Technology Hardware, Storage & Peripherals, Internet & Direct Marketing Retail, and Health Care Providers & Services. Industries showing weakness include Diversified Telecommunication Services, Media, and Biotechnology. The VIX is down 0.01 to 19.12 after the previous close of 19.13. The Dow rose 1.5%, the S&P 1.0%, and the Nasdaq 1.3%. Crude oil rose nearly 3% to about $55 per barrel, while gold rose slightly to trade near $1316 per ounce."," The Dow Jones, the S&P 500 and the Nasdaq are all in positive territory ahead of today's meeting of the US Federal Reserve, which is due to decide whether to raise interest rates for the first time in more than a decade.",positive
stock on Wall Street,"Stocks plunged on Thursday morning following reduced revenue guidance from Apple, which cited slower demand for iPhones, and disappointing manufacturing data. The Institute for Supply Management said that its manufacturing index fell to 54.1 in December, below the Reuters consensus forecast of 57.9 and down sharply from November. The Dow fell 2.5%, the S&P 2.0%, and the Nasdaq 2.2%. Crude oil fell 1% to about $46 per barrel, while gold rose $8 to $1292 per ounce."," Stocks on Wall Street closed sharply lower on Thursday, dragged down by falling oil prices and a weaker-than-expected report on the world's second-biggest economy, the US National Statistics Agency (NSA) said.",negative
US economy,"The U.S. Department of Commerce announced that its third and final estimate for 3Q18 GDP growth was a strong rate of 3.4%. This was down 10 basis points compared to the previous estimate and, as we had anticipated, was lower than the impressive-but-unsustainable rate of 4.2% in 2Q.  Even so, growth was broad-based, including capital investments into Intellectual Products (+5.6%), Equipment (+3.4%), the all-important Personal Consumer Spending category (+3.5%) and even Federal Government Spending (+3.5%, led by Defense spending).  The segments that lagged were Housing (-3.6%), once again, and Exports (-4.9% and reflecting tariff turmoil as well as a strong dollar). The 3Q results benefited from the Trump tax cuts, which helped drive consumer spending. But the tax-cut ""sugar high"" will be winding down after one more quarter. We expect growth in 4Q in the 3% range, but look for a further slowdown into 2019-2020 as housing and exports continue to weigh. As the slowdown progresses, we anticipate that the Federal Reserve will slow down its pace of interest-rate hikes.","The US economy grew at an annual rate of 3.4% in the third quarter of this year, according to official figures, but the pace of growth slowed slightly in the final quarter of the year, compared to the same period in the previous quarter.",negative
US stock,"Stocks rallied on Wednesday, led by the Technology and Consumer Discretionary sectors, after Fed Chair Jerome Powell lowered concerns about aggressive interest rate hikes next year. Meanwhile, the Commerce Department said that the U.S. economy grew at a 3.5% annualized rate in the third quarter, unchanged from its prior estimate but down from 4.2% growth in 2Q. The Dow rose 1.9%, the S&P 1.6%, and the Nasdaq 1.9%. Crude oil rose slightly to about $52 per barrel, while gold traded near $1223 per ounce.","US stocks closed higher on Wednesday, boosted by better-than-expected economic data and hopes that the US Federal Reserve will keep interest rates on hold at a record low for a second time in less than a year in the coming months.",positive
stock on Wall Street,"The FAANG Stocks - Facebook, Apple, Amazon, Netflix and Google - had been leading the broad market higher over the past two years. And, in the past month, these five Wall Street darlings have led the broad market into correction territory. In August, Apple crossed the trillion-dollar market cap line, and Amazon followed in October. Now, in late November, these five stocks have lost over $1 trillion in market cap collectively. Here are our views on the near-term status of these stocks.","Stocks on Wall Street have lost more than $1 trillion (Â£700bn) in the past month - the biggest fall in the history of the US stock market, according to the New York Stock Exchange, and the US Federal Reserve.",positive
stock on Wall Street,"Stocks fell on Friday morning following the October employment report, as strong wage growth raised the likelihood of a Fed interest rate hike in December. The Labor Department said that the U.S. economy added 250,000 payroll jobs last month, up from a revised 118,000 in September and above the Reuters consensus forecast of 190,000. The official unemployment rate held steady at 3.7%, while average hourly wages rose 3.1% from the prior year. The S&P fell 0.9%, the Dow 0.7%, and the Nasdaq 1.3%. Crude oil traded near $63 per barrel, while gold fell $7 to $1232 per ounce.","Stocks on Wall Street fell on Friday after the US economy added more jobs than expected in October, but the price of oil fell below $60 a barrel for the first time in more than a decade on concerns about the health of the global economy.",positive
US stock,"Stocks rose on Friday, finishing off a strong week that saw major indexes climb higher. Riskier equities outperformed blue chips, a trend that was commonplace during the early weeks of the recovery. On Friday, the Dow Jones Industrial Average gained 162 points, or 0.6%. The S&P 500 was up 0.7% and the Nasdaq Composite was up 0.6%. For the full week, the Dow was up 2.6%, the S&P 500 was up 3.3% and the Nasdaq gained 3.4%. Year-to-date, the DJIA crossed into positive territory this week, and is up 0.4%, the S&P is up 8.6%, and the Nasdaq is up 30.4%. Over the past 52 weeks, the Dow is up 8.5%, the S&P 500 is up 19.9%, and the Nasdaq is up 46.9%. "," US stocks ended the week in positive territory for the first time in more than two years, according to the latest figures from the Dow Jones Industrial Average, which closed at a record high on Friday, and the Nasdaq closed at another record high.",positive
